id,title,description,difficulty_level,created_at,updated_at,examples,constraints,test_cases
451,Path in Grid,"Given a 2D grid representing a maze, where 0 represents a path and 1 represents a wall, determine if there is a path from the top-left corner (0, 0) to the bottom-right corner (R-1, C-1). You can move up, down, left, or right. Return 1 if a path exists, otherwise return 0.",Medium,2025-03-16T21:18:49.409233+00:00,2025-03-16T21:18:49.409233+00:00,"[{""input"": {""grid"": [[0, 0, 0], [1, 1, 0], [1, 1, 0]]}, ""output"": 1}, {""input"": {""grid"": [[0, 0, 0], [1, 1, 1], [0, 0, 0]]}, ""output"": 0}]","[""grid[i][j] is either 0 or 1."", ""1 <= R, C <= 100, where R is the number of rows and C is the number of columns in the grid.""]","[{""input"": {""grid"": [[0, 0, 0], [1, 1, 0], [1, 1, 0]]}, ""expected_output"": 1}, {""input"": {""grid"": [[0, 0, 0], [1, 1, 1], [0, 0, 0]]}, ""expected_output"": 0}, {""input"": {""grid"": [[0, 1, 0], [0, 0, 0], [0, 1, 0]]}, ""expected_output"": 1}, {""input"": {""grid"": [[1, 0, 0], [0, 0, 0], [0, 0, 0]]}, ""expected_output"": 0}, {""input"": {""grid"": [[0, 0, 0], [0, 0, 0], [0, 0, 1]]}, ""expected_output"": 0}]"
452,Prefix Count Threshold,"Given a list of strings and two integers, 'p' (prefix length) and 'k' (count threshold), determine if there exist at least 'k' strings in the list that share a common prefix of length exactly 'p'. Return 1 if such a set of strings exists, and 0 otherwise.",Hard,2025-03-16T21:19:04.663820+00:00,2025-03-16T21:19:04.663820+00:00,"[{""input"": {""k"": 3, ""p"": 2, ""strings"": [""apple"", ""apricot"", ""banana"", ""apply""]}, ""output"": 1}, {""input"": {""k"": 3, ""p"": 3, ""strings"": [""apple"", ""apricot"", ""banana"", ""apply""]}, ""output"": 0}]","[""Strings consist of lowercase English letters."", ""1 \u2264 k \u2264 10^5"", ""1 \u2264 p \u2264 50"", ""1 \u2264 strings[i].length \u2264 50"", ""1 \u2264 strings.length \u2264 10^5""]","[{""input"": {""k"": 3, ""p"": 2, ""strings"": [""apple"", ""apricot"", ""banana"", ""apply""]}, ""expected_output"": 1}, {""input"": {""k"": 3, ""p"": 3, ""strings"": [""apple"", ""apricot"", ""banana"", ""apply""]}, ""expected_output"": 0}, {""input"": {""k"": 4, ""p"": 1, ""strings"": [""cat"", ""car"", ""can"", ""dog""]}, ""expected_output"": 0}, {""input"": {""k"": 4, ""p"": 1, ""strings"": [""cat"", ""car"", ""can"", ""dog"", ""cow""]}, ""expected_output"": 1}, {""input"": {""k"": 3, ""p"": 2, ""strings"": [""a"", ""aa"", ""aaa"", ""aaaa"", ""aaaaa""]}, ""expected_output"": 1}]"
453,String Starts With,"Given two strings, text and prefix, return 1 if the text starts with the prefix, otherwise return 0.",Easy,2025-03-16T21:19:17.614295+00:00,2025-03-16T21:19:17.614295+00:00,"[{""input"": {""text"": ""hello world"", ""prefix"": ""hello""}, ""output"": 1}, {""input"": {""text"": ""world hello"", ""prefix"": ""hello""}, ""output"": 0}]","[""text and prefix consist of lowercase English letters."", ""1 <= prefix.length <= 100"", ""1 <= text.length <= 100""]","[{""input"": {""text"": ""hello world"", ""prefix"": ""hello""}, ""expected_output"": 1}, {""input"": {""text"": ""world hello"", ""prefix"": ""hello""}, ""expected_output"": 0}, {""input"": {""text"": ""helloworld"", ""prefix"": ""hello""}, ""expected_output"": 1}, {""input"": {""text"": ""hel"", ""prefix"": ""hello""}, ""expected_output"": 0}, {""input"": {""text"": ""hello"", ""prefix"": ""hello""}, ""expected_output"": 1}]"
454,Same Number of Set Bits,"Given two non-negative integers, n and m, return 1 if they have the same number of set bits (bits that are 1 in their binary representation), otherwise return 0.",Medium,2025-03-16T21:20:11.086836+00:00,2025-03-16T21:20:11.086836+00:00,"[{""input"": {""m"": 6, ""n"": 5}, ""output"": 1}, {""input"": {""m"": 2, ""n"": 7}, ""output"": 0}]","[""0 \u2264 m \u2264 10^9"", ""0 \u2264 n \u2264 10^9""]","[{""input"": {""m"": 6, ""n"": 5}, ""expected_output"": 1}, {""input"": {""m"": 2, ""n"": 7}, ""expected_output"": 0}, {""input"": {""m"": 0, ""n"": 0}, ""expected_output"": 1}, {""input"": {""m"": 8, ""n"": 1}, ""expected_output"": 1}, {""input"": {""m"": 10, ""n"": 15}, ""expected_output"": 0}]"
455,Search in Binary Search Tree,"Given the root of a binary search tree (BST) represented as an array and an integer target, return 1 if the target exists in the BST, otherwise return 0.

In the array representation of the BST, the first element is the root. For a node at index i, its left child is at index 2*i + 1 and its right child is at index 2*i + 2, if they exist. 'null' indicates no node at that position.",Easy,2025-03-16T21:20:25.770022+00:00,2025-03-16T21:20:25.770022+00:00,"[{""input"": {""root"": [5, 3, 6, 2, 4, null, 7], ""target"": 3}, ""output"": 1}, {""input"": {""root"": [5, 3, 6, 2, 4, null, 7], ""target"": 8}, ""output"": 0}]","[""-10^4 \u2264 target \u2264 10^4"", ""-10^4 \u2264 Node.val \u2264 10^4"", ""1 \u2264 number of nodes in the tree \u2264 100""]","[{""input"": {""root"": [5, 3, 6, 2, 4, null, 7], ""target"": 3}, ""expected_output"": 1}, {""input"": {""root"": [5, 3, 6, 2, 4, null, 7], ""target"": 8}, ""expected_output"": 0}, {""input"": {""root"": [2, 1, 3], ""target"": 2}, ""expected_output"": 1}, {""input"": {""root"": [2, 1, 3], ""target"": 4}, ""expected_output"": 0}, {""input"": {""root"": [1], ""target"": 1}, ""expected_output"": 1}]"
456,Deep Copy Linked List with Random Pointers,"Given a linked list where each node contains an additional random pointer which could point to any node in the list or null, create a deep copy of the list. Return 1 if the deep copy is correctly created (meaning the structure, values, and random pointers are identical to the original list), and 0 otherwise.",Hard,2025-03-16T21:20:54.538384+00:00,2025-03-16T21:20:54.538384+00:00,"[{""input"": {""head"": [{""val"": 1, ""random_index"": 2}, {""val"": 2, ""random_index"": -1}, {""val"": 3, ""random_index"": -1}]}, ""output"": 1}, {""input"": {""head"": [{""val"": 7, ""random_index"": -1}, {""val"": 13, ""random_index"": 0}, {""val"": 11, ""random_index"": 3}, {""val"": 10, ""random_index"": 0}, {""val"": 1, ""random_index"": 4}]}, ""output"": 1}]","[""random_index is either -1 or a valid index within the bounds of the list."", ""-1000 <= Node.val <= 1000"", ""0 <= list length <= 1000""]","[{""input"": {""head"": [{""val"": 1, ""random_index"": 2}, {""val"": 2, ""random_index"": -1}, {""val"": 3, ""random_index"": -1}]}, ""expected_output"": 1}, {""input"": {""head"": [{""val"": 7, ""random_index"": -1}, {""val"": 13, ""random_index"": 0}, {""val"": 11, ""random_index"": 3}, {""val"": 10, ""random_index"": 0}, {""val"": 1, ""random_index"": 4}]}, ""expected_output"": 1}, {""input"": {""head"": []}, ""expected_output"": 1}, {""input"": {""head"": [{""val"": 5, ""random_index"": -1}]}, ""expected_output"": 1}, {""input"": {""head"": [{""val"": 5, ""random_index"": 0}]}, ""expected_output"": 1}]"
457,Rotated Sorted Array with Duplicates - Minimum Index,"Given a rotated sorted array `nums` with possible duplicate elements and a target integer `target`, find the minimum index at which the `target` value appears in `nums`. If the `target` is not found in `nums`, return -1. The array `nums` was initially sorted in ascending order and then rotated at an unknown pivot index.",Hard,2025-03-16T21:21:43.316992+00:00,2025-03-16T21:21:43.316992+00:00,"[{""input"": {""nums"": [2, 5, 6, 0, 0, 1, 2], ""target"": 0}, ""output"": 3}, {""input"": {""nums"": [2, 2, 2, 3, 2, 2, 2], ""target"": 2}, ""output"": 0}]","[""-10^4 \u2264 target \u2264 10^4"", ""-10^4 \u2264 nums[i] \u2264 10^4"", ""1 \u2264 nums.length \u2264 5000""]","[{""input"": {""nums"": [2, 5, 6, 0, 0, 1, 2], ""target"": 0}, ""expected_output"": 3}, {""input"": {""nums"": [2, 2, 2, 3, 2, 2, 2], ""target"": 2}, ""expected_output"": 0}, {""input"": {""nums"": [1, 1, 1, 1, 1, 1], ""target"": 2}, ""expected_output"": -1}, {""input"": {""nums"": [3, 1], ""target"": 1}, ""expected_output"": 1}, {""input"": {""nums"": [4, 5, 6, 7, 0, 1, 2], ""target"": 0}, ""expected_output"": 4}, {""input"": {""nums"": [1, 3], ""target"": 3}, ""expected_output"": 1}, {""input"": {""nums"": [1, 3], ""target"": 1}, ""expected_output"": 0}, {""input"": {""nums"": [1, 1, 2, 2, 3, 3], ""target"": 2}, ""expected_output"": 2}]"
458,Red-Black Tree Validation,"Given a binary tree represented as a JSON object, determine if it is a valid Red-Black Tree. Return 1 if it is a valid Red-Black Tree, and 0 otherwise.

A valid Red-Black Tree must satisfy the following properties:
1. Each node is either red or black.
2. The root is black.
3. All leaves (null nodes in this representation) are considered black.
4. If a node is red, then both its children are black.
5. For each node, all simple paths from the node to descendant leaves contain the same number of black nodes (black-height property).",Hard,2025-03-16T21:22:20.711136+00:00,2025-03-16T21:22:20.711136+00:00,"[{""input"": {""tree"": {""left"": {""left"": null, ""color"": ""red"", ""right"": null, ""value"": 5}, ""color"": ""black"", ""right"": {""left"": null, ""color"": ""red"", ""right"": null, ""value"": 15}, ""value"": 10}}, ""output"": 1}, {""input"": {""tree"": {""left"": null, ""color"": ""red"", ""right"": null, ""value"": 10}}, ""output"": 0}]","[""Node values are integers."", ""Node colors are guaranteed to be either 'red' or 'black'."", ""The input tree is a valid binary tree structure represented in JSON.""]","[{""input"": {""tree"": {""left"": {""left"": null, ""color"": ""red"", ""right"": null, ""value"": 5}, ""color"": ""black"", ""right"": {""left"": null, ""color"": ""red"", ""right"": null, ""value"": 15}, ""value"": 10}}, ""expected_output"": 1}, {""input"": {""tree"": {""left"": {""left"": {""left"": null, ""color"": ""red"", ""right"": null, ""value"": 5}, ""color"": ""black"", ""right"": {""left"": null, ""color"": ""red"", ""right"": null, ""value"": 15}, ""value"": 10}, ""color"": ""black"", ""right"": {""left"": null, ""color"": ""black"", ""right"": null, ""value"": 30}, ""value"": 20}}, ""expected_output"": 1}, {""input"": {""tree"": {""left"": null, ""color"": ""red"", ""right"": null, ""value"": 10}}, ""expected_output"": 0}, {""input"": {""tree"": {""left"": {""left"": {""left"": null, ""color"": ""red"", ""right"": null, ""value"": 2}, ""color"": ""red"", ""right"": null, ""value"": 5}, ""color"": ""black"", ""right"": null, ""value"": 10}}, ""expected_output"": 0}, {""input"": {""tree"": {""left"": {""left"": null, ""color"": ""black"", ""right"": null, ""value"": 5}, ""color"": ""black"", ""right"": {""left"": null, ""color"": ""red"", ""right"": {""left"": null, ""color"": ""black"", ""right"": null, ""value"": 20}, ""value"": 15}, ""value"": 10}}, ""expected_output"": 0}]"
459,Non-decreasing Array with One Modification,"Given an array of integers nums, determine if it is possible to make it a non-decreasing array by modifying at most one element. Return 1 if it is possible, otherwise return 0.",Medium,2025-03-16T21:22:41.153563+00:00,2025-03-16T21:22:41.153563+00:00,"[{""input"": {""nums"": [4, 2, 3]}, ""output"": 1}, {""input"": {""nums"": [4, 2, 1]}, ""output"": 0}]","[""-10^5 \u2264 nums[i] \u2264 10^5"", ""1 \u2264 nums.length \u2264 10^4""]","[{""input"": {""nums"": [4, 2, 3]}, ""expected_output"": 1}, {""input"": {""nums"": [4, 2, 1]}, ""expected_output"": 0}, {""input"": {""nums"": [1, 2, 3, 4]}, ""expected_output"": 1}, {""input"": {""nums"": [1, 2, 0, 4]}, ""expected_output"": 1}, {""input"": {""nums"": [1, 0, 0, 4]}, ""expected_output"": 1}, {""input"": {""nums"": [5, 7, 1, 8]}, ""expected_output"": 1}, {""input"": {""nums"": [10, 5, 3, 1]}, ""expected_output"": 0}]"
460,Substring with At Least K Vowels,"Given a string 's' and an integer 'k', determine if there exists a substring of length 'k' that contains at least 3 vowels ('a', 'e', 'i', 'o', 'u'). Return 1 if such a substring exists, and 0 otherwise.",Medium,2025-03-16T21:22:55.564294+00:00,2025-03-16T21:22:55.564294+00:00,"[{""input"": {""k"": 5, ""s"": ""abceiouxyz""}, ""output"": 1}, {""input"": {""k"": 3, ""s"": ""bcdfghjkl""}, ""output"": 0}]","[""s consists of lowercase English letters."", ""1 \u2264 k \u2264 s.length"", ""1 \u2264 s.length \u2264 10^5""]","[{""input"": {""k"": 4, ""s"": ""aeioubc""}, ""expected_output"": 1}, {""input"": {""k"": 3, ""s"": ""abcdefg""}, ""expected_output"": 0}, {""input"": {""k"": 5, ""s"": ""baeiouxyz""}, ""expected_output"": 1}, {""input"": {""k"": 4, ""s"": ""xyzxyzxyz""}, ""expected_output"": 0}, {""input"": {""k"": 5, ""s"": ""aeiouaeiou""}, ""expected_output"": 1}]"
461,Path in a Maze,"Given a 2D grid representing a maze, where 1 represents a path and 0 represents a wall, determine if there is a path from the top-left corner (0, 0) to the bottom-right corner (R-1, C-1). You can move up, down, left, or right.",Medium,2025-03-16T21:23:11.293986+00:00,2025-03-16T21:23:11.293986+00:00,"[{""input"": {""grid"": [[1, 0, 0, 0], [1, 1, 0, 0], [0, 1, 1, 0], [0, 0, 1, 1]]}, ""output"": 1}, {""input"": {""grid"": [[1, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 1]]}, ""output"": 0}]","[""grid[i][j] is either 0 or 1."", ""1 <= R, C <= 100, where R and C are the number of rows and columns in the grid respectively.""]","[{""input"": {""grid"": [[1, 0, 0, 0], [1, 1, 0, 0], [0, 1, 1, 0], [0, 0, 1, 1]]}, ""expected_output"": 1}, {""input"": {""grid"": [[1, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 1]]}, ""expected_output"": 0}, {""input"": {""grid"": [[1, 1, 1], [1, 0, 1], [1, 1, 1]]}, ""expected_output"": 1}, {""input"": {""grid"": [[1, 1, 1], [1, 0, 0], [1, 1, 1]]}, ""expected_output"": 1}, {""input"": {""grid"": [[0, 1], [1, 1]]}, ""expected_output"": 0}]"
462,Array Contains Element (Recursive),"Given an array of integers `nums` and a target integer `target`, return 1 if the target integer is present in the array, otherwise return 0. Solve this problem using recursion.",Easy,2025-03-16T21:24:34.351857+00:00,2025-03-16T21:24:34.351857+00:00,"[{""input"": {""nums"": [1, 2, 3, 4, 5], ""target"": 3}, ""output"": 1}, {""input"": {""nums"": [1, 2, 3, 4, 5], ""target"": 6}, ""output"": 0}]","[""-100 \u2264 target \u2264 100"", ""-100 \u2264 nums[i] \u2264 100"", ""1 \u2264 nums.length \u2264 100""]","[{""input"": {""nums"": [1, 2, 3, 4, 5], ""target"": 3}, ""expected_output"": 1}, {""input"": {""nums"": [1, 2, 3, 4, 5], ""target"": 6}, ""expected_output"": 0}, {""input"": {""nums"": [10, 20, 30], ""target"": 20}, ""expected_output"": 1}, {""input"": {""nums"": [5, 5, 5], ""target"": 5}, ""expected_output"": 1}, {""input"": {""nums"": [], ""target"": 1}, ""expected_output"": 0}]"
463,Anagram Checker with Cleaning,"Given two strings, determine if they are anagrams of each other after cleaning. Cleaning involves removing all non-alphanumeric characters and converting the strings to lowercase. Return 1 if the cleaned strings are anagrams, and 0 otherwise.",Medium,2025-03-16T21:24:49.060766+00:00,2025-03-16T21:24:49.060766+00:00,"[{""input"": {""str1"": ""Listen!"", ""str2"": ""Silent""}, ""output"": 1}, {""input"": {""str1"": ""hello world"", ""str2"": ""World, Hello""}, ""output"": 1}]","[""Strings can contain any ASCII characters."", ""1 \u2264 length of str1, str2 \u2264 10^5""]","[{""input"": {""str1"": ""Listen!"", ""str2"": ""Silent""}, ""expected_output"": 1}, {""input"": {""str1"": ""hello world"", ""str2"": ""World, Hello""}, ""expected_output"": 1}, {""input"": {""str1"": ""abc"", ""str2"": ""abd""}, ""expected_output"": 0}, {""input"": {""str1"": ""A man, a plan, a canal: Panama"", ""str2"": ""Panama canal plan a man""}, ""expected_output"": 1}, {""input"": {""str1"": ""Programming"", ""str2"": ""Gaming""}, ""expected_output"": 0}]"
464,Find Maximum,"Given an array of integers nums, find the maximum element using a divide and conquer approach. Return the maximum element.",Easy,2025-03-16T21:25:02.307974+00:00,2025-03-16T21:25:02.307974+00:00,"[{""input"": {""nums"": [1, 5, 2, 8, 3]}, ""output"": 8}, {""input"": {""nums"": [-1, -5, -2]}, ""output"": -1}]","[""-1000 \u2264 nums[i] \u2264 1000"", ""1 \u2264 nums.length \u2264 100""]","[{""input"": {""nums"": [1, 5, 2, 8, 3]}, ""expected_output"": 8}, {""input"": {""nums"": [-1, -5, -2]}, ""expected_output"": -1}, {""input"": {""nums"": [7]}, ""expected_output"": 7}, {""input"": {""nums"": [1, 1, 1, 1]}, ""expected_output"": 1}, {""input"": {""nums"": [5, 2, 8, 1, 9, 4]}, ""expected_output"": 9}]"
465,String Starts and Ends With,"Given a string, a prefix, and a suffix, determine if the string starts with the given prefix and ends with the given suffix. Return 1 if it does, and 0 otherwise.",Easy,2025-03-16T21:25:24.603650+00:00,2025-03-16T21:25:24.603650+00:00,"[{""input"": {""prefix"": ""ban"", ""string"": ""banana"", ""suffix"": ""ana""}, ""output"": 1}, {""input"": {""prefix"": ""apple"", ""string"": ""orange"", ""suffix"": ""pie""}, ""output"": 0}]","[""string, prefix, and suffix consist of lowercase English letters"", ""1 \u2264 suffix.length \u2264 10"", ""1 \u2264 prefix.length \u2264 10"", ""1 \u2264 string.length \u2264 100""]","[{""input"": {""prefix"": ""app"", ""string"": ""applepie"", ""suffix"": ""pie""}, ""expected_output"": 1}, {""input"": {""prefix"": ""app"", ""string"": ""banana"", ""suffix"": ""pie""}, ""expected_output"": 0}, {""input"": {""prefix"": ""app"", ""string"": ""application"", ""suffix"": ""tion""}, ""expected_output"": 1}, {""input"": {""prefix"": ""pro"", ""string"": ""programming"", ""suffix"": ""ing""}, ""expected_output"": 1}, {""input"": {""prefix"": ""match"", ""string"": ""nomatch"", ""suffix"": ""no""}, ""expected_output"": 0}]"
466,Vowel Count,"Given a string, return the number of vowels in the string. Vowels are defined as 'a', 'e', 'i', 'o', 'u' (case-insensitive).",Easy,2025-03-16T21:25:38.932488+00:00,2025-03-16T21:25:38.932488+00:00,"[{""input"": {""s"": ""hello""}, ""output"": 2}, {""input"": {""s"": ""AEIOUaeiou""}, ""output"": 10}]","[""s consists of English letters, digits, spaces and punctuation."", ""1 <= s.length <= 100""]","[{""input"": {""s"": ""hello""}, ""expected_output"": 2}, {""input"": {""s"": ""AEIOU""}, ""expected_output"": 5}, {""input"": {""s"": ""Programming""}, ""expected_output"": 3}, {""input"": {""s"": ""rhythm""}, ""expected_output"": 0}, {""input"": {""s"": ""Mississippi""}, ""expected_output"": 4}]"
467,Valid BST Preorder Traversal,"Given an array of integers, determine if it is a valid preorder traversal sequence of a Binary Search Tree. Return 1 if it is a valid preorder traversal, and 0 otherwise.",Hard,2025-03-16T21:26:14.572758+00:00,2025-03-16T21:26:14.572758+00:00,"[{""input"": {""preorder"": [5, 2, 1, 3, 6]}, ""output"": 1}, {""input"": {""preorder"": [5, 6, 2, 1, 3]}, ""output"": 0}]","[""1 \u2264 preorder[i] \u2264 10000"", ""1 \u2264 preorder.length \u2264 1000""]","[{""input"": {""preorder"": [5, 2, 1, 3, 6]}, ""expected_output"": 1}, {""input"": {""preorder"": [5, 6, 2, 1, 3]}, ""expected_output"": 0}, {""input"": {""preorder"": [1]}, ""expected_output"": 1}, {""input"": {""preorder"": [3, 1, 2, 4]}, ""expected_output"": 1}, {""input"": {""preorder"": [3, 4, 1, 2]}, ""expected_output"": 0}, {""input"": {""preorder"": [10, 5, 1, 7, 15, 12, 18]}, ""expected_output"": 1}, {""input"": {""preorder"": [10, 5, 15, 7, 12, 18]}, ""expected_output"": 0}]"
468,Subarray with Target Sum (Sliding Window),"Given an array of positive integers nums and a target integer target, return 1 if there exists a contiguous subarray within nums that sums up to target. Otherwise, return 0.",Easy,2025-03-16T21:26:36.312179+00:00,2025-03-16T21:26:36.312179+00:00,"[{""input"": {""nums"": [1, 4, 20, 3, 10, 5], ""target"": 33}, ""output"": 1}, {""input"": {""nums"": [1, 2, 3, 4, 5], ""target"": 12}, ""output"": 1}]","[""1 \u2264 target \u2264 10^6"", ""1 \u2264 nums[i] \u2264 1000"", ""1 \u2264 nums.length \u2264 10^5""]","[{""input"": {""nums"": [1, 4, 20, 3, 10, 5], ""target"": 33}, ""expected_output"": 1}, {""input"": {""nums"": [1, 2, 3, 4, 5], ""target"": 12}, ""expected_output"": 1}, {""input"": {""nums"": [1, 2, 3, 4, 5], ""target"": 20}, ""expected_output"": 0}, {""input"": {""nums"": [10, 2, -2, -20, 10], ""target"": 10}, ""expected_output"": 1}, {""input"": {""nums"": [1, 1, 1, 1, 1], ""target"": 5}, ""expected_output"": 1}]"
469,City Connectivity After Road Construction,"Given a set of cities and existing roads connecting them, and a list of planned new roads. Determine if adding all the planned roads will connect two specified cities. Return 1 if they are connected, and 0 otherwise. You need to use Union Find to solve this problem efficiently.",Hard,2025-03-16T21:26:56.319298+00:00,2025-03-16T21:26:56.319298+00:00,"[{""input"": {""city1"": 0, ""city2"": 4, ""num_cities"": 5, ""planned_roads"": [[1, 2], [3, 4]], ""existing_roads"": [[0, 1], [2, 3]]}, ""output"": 1}, {""input"": {""city1"": 0, ""city2"": 4, ""num_cities"": 5, ""planned_roads"": [[1, 2]], ""existing_roads"": [[0, 1], [2, 3]]}, ""output"": 0}]","[""Each city is represented by an integer from 0 to num_cities - 1"", ""0 \u2264 city1, city2 < num_cities"", ""0 \u2264 planned_roads.length \u2264 10^5"", ""0 \u2264 existing_roads.length \u2264 10^5"", ""2 \u2264 num_cities \u2264 10^5""]","[{""input"": {""city1"": 0, ""city2"": 4, ""num_cities"": 5, ""planned_roads"": [[1, 2], [3, 4]], ""existing_roads"": [[0, 1], [2, 3]]}, ""expected_output"": 1}, {""input"": {""city1"": 0, ""city2"": 4, ""num_cities"": 5, ""planned_roads"": [[1, 2]], ""existing_roads"": [[0, 1], [2, 3]]}, ""expected_output"": 0}, {""input"": {""city1"": 0, ""city2"": 2, ""num_cities"": 3, ""planned_roads"": [[0, 1], [1, 2]], ""existing_roads"": []}, ""expected_output"": 1}, {""input"": {""city1"": 0, ""city2"": 3, ""num_cities"": 4, ""planned_roads"": [[2, 3]], ""existing_roads"": [[0, 1]]}, ""expected_output"": 0}, {""input"": {""city1"": 0, ""city2"": 1, ""num_cities"": 2, ""planned_roads"": [], ""existing_roads"": []}, ""expected_output"": 0}, {""input"": {""city1"": 0, ""city2"": 5, ""num_cities"": 6, ""planned_roads"": [[1, 2], [3, 4]], ""existing_roads"": [[0, 1], [2, 3], [4, 5]]}, ""expected_output"": 1}, {""input"": {""city1"": 0, ""city2"": 6, ""num_cities"": 7, ""planned_roads"": [[1, 2]], ""existing_roads"": [[0, 1], [2, 3], [4, 5]]}, ""expected_output"": 0}]"
470,Array Subset,"Given two arrays of integers, arr1 and arr2, determine if arr2 is a subset of arr1. Return 1 if arr2 is a subset of arr1, otherwise return 0.

An array arr2 is a subset of array arr1 if each element of arr2 is also an element of arr1.",Medium,2025-03-16T21:27:15.306140+00:00,2025-03-16T21:27:15.306140+00:00,"[{""input"": {""arr1"": [1, 2, 3, 4, 5], ""arr2"": [2, 4]}, ""output"": 1}, {""input"": {""arr1"": [10, 5, 2, 23, 19], ""arr2"": [19, 5, 3]}, ""output"": 0}]","[""-10^5 \u2264 arr1[i], arr2[i] \u2264 10^5"", ""1 \u2264 arr1.length, arr2.length \u2264 10^5""]","[{""input"": {""arr1"": [1, 2, 3, 4, 5], ""arr2"": [2, 4]}, ""expected_output"": 1}, {""input"": {""arr1"": [10, 5, 2, 23, 19], ""arr2"": [19, 5, 3]}, ""expected_output"": 0}, {""input"": {""arr1"": [1, 2, 3, 4, 5], ""arr2"": [1, 2, 3, 4, 5]}, ""expected_output"": 1}, {""input"": {""arr1"": [1, 2, 2, 3, 4, 5], ""arr2"": [2, 2]}, ""expected_output"": 1}, {""input"": {""arr1"": [1, 2, 3], ""arr2"": [4, 5]}, ""expected_output"": 0}]"
471,Grid Path with Teleporters,"You are given a grid representing a city. Each cell in the grid has a cost to traverse. Some cells are teleporters, represented by -1. When you enter a teleporter cell, you are instantly transported to another specific cell in the grid for free (cost 0).  Given a starting cell and an ending cell, determine if there exists a path from the start to the end with a total cost less than or equal to a given budget. Return 1 if such a path exists, and 0 otherwise.",Hard,2025-03-16T21:27:43.058773+00:00,2025-03-16T21:27:43.058773+00:00,"[{""input"": {""end"": [2, 2], ""grid"": [[1, 1, 1], [1, -1, 1], [1, 1, 1]], ""start"": [0, 0], ""budget"": 5, ""teleporters"": [[[1, 1], [0, 2]]]}, ""output"": 1}, {""input"": {""end"": [1, 1], ""grid"": [[10, 10], [10, 10]], ""start"": [0, 0], ""budget"": 15, ""teleporters"": []}, ""output"": 0}]","[""1 \u2264 budget \u2264 10000"", ""0 \u2264 teleporters.length \u2264 grid.length * grid[0].length"", ""grid[i][j] == -1 for teleporter cells"", ""1 \u2264 grid[i][j] \u2264 100 for non-teleporter cells"", ""1 \u2264 grid[0].length \u2264 50"", ""1 \u2264 grid.length \u2264 50""]","[{""input"": {""end"": [2, 2], ""grid"": [[1, 1, 1], [1, -1, 1], [1, 1, 1]], ""start"": [0, 0], ""budget"": 5, ""teleporters"": [[[1, 1], [0, 2]]]}, ""expected_output"": 1}, {""input"": {""end"": [1, 1], ""grid"": [[10, 10], [10, 10]], ""start"": [0, 0], ""budget"": 15, ""teleporters"": []}, ""expected_output"": 0}, {""input"": {""end"": [2, 2], ""grid"": [[2, 3, 4], [5, 6, 7], [8, 9, 10]], ""start"": [0, 0], ""budget"": 30, ""teleporters"": []}, ""expected_output"": 1}, {""input"": {""end"": [2, 2], ""grid"": [[2, 3, 4], [5, -1, 7], [8, 9, 10]], ""start"": [0, 0], ""budget"": 15, ""teleporters"": [[[1, 1], [0, 2]]]}, ""expected_output"": 1}, {""input"": {""end"": [2, 2], ""grid"": [[2, 3, 4], [5, -1, 7], [8, 9, 10]], ""start"": [0, 0], ""budget"": 10, ""teleporters"": [[[1, 1], [0, 2]]]}, ""expected_output"": 0}]"
472,Valid Email Check,"Given a string, determine if it is a valid simplified email address format. A valid email address in this problem follows these rules:
1. It must contain exactly one '@' symbol.
2. The part before the '@' (username) can contain alphanumeric characters, periods (.), underscores (_), and hyphens (-).
3. The part after the '@' and before the last period (domain) can contain alphanumeric characters and hyphens (-).
4. The part after the last period (extension) must contain only alphabetic characters and be between 2 and 3 characters long.

Return 1 if the input string is a valid email address according to these rules, and 0 otherwise.",Medium,2025-03-16T21:28:25.609354+00:00,2025-03-16T21:28:25.609354+00:00,"[{""input"": {""email"": ""test@example.com""}, ""output"": 1}, {""input"": {""email"": ""invalid-email""}, ""output"": 0}]","[""email consists of printable ASCII characters."", ""1 \u2264 email.length \u2264 100""]","[{""input"": {""email"": ""test@example.com""}, ""expected_output"": 1}, {""input"": {""email"": ""user.name@sub.domain.com""}, ""expected_output"": 0}, {""input"": {""email"": ""user_name-123@example-domain.net""}, ""expected_output"": 1}, {""input"": {""email"": ""very.common@example.museum""}, ""expected_output"": 1}, {""input"": {""email"": ""firstname+lastname@example.com""}, ""expected_output"": 0}]"
